PPN;SYS
080046738;001216968
047072814;001216773
053860063;000028591
062975889;000803945
037136666;000848149
045589550;000905540
180808842;001805070
851768156;000811985
864807686;000031474
03679404X;001307383
051214202;001008890
055338356;001479465
057341079;001382068
056939825;001299189
097827932;001319251
056822480;001356249
114136947;001449263
106427865;001357136
090601440;001280635
095016058;001395551
090034724;001449247
056163886;000674198
056751729;001089389
036636819;001283717
864213298;001235040
832865885;001485106
056754531;001490264
109466853;001378490
065229053;001120804
062491040;000666254
114179298;001450000
832851728;001264309
056695934;001326257
098074075;001342608
095050116;001354988
266780032;001049577
062682407;000684762
841022089;001367660
107294435;001362703
037963732;001322000
263628272;001268969
062691988;000686894
105197726;001355504
056156251;001358852
118530364;001480552
263427692;000887650
10895238X;001377157
05367572X;001467678
056310404;001369593
150586582;001629269
062399896;001283714
107161451;001361645
047600268;001495070
088168220;001490516
862078261;001352750
852375719;001257122
060977280;000517894
057532125;000517895
107826542;001367118
091300290;001555684
065051297;001069669
037113828;000520884
059342536;000194132
06404601X;000953828
09818413X;001477399
117314579;001476850
056889968;001490397
046733701;001244162
830407774;000817777
047014539;000693877
047656166;001338630
042925150;001633182
059438703;000229108
065002032;001056008
062287842;000965794
095083693;001299634
059070617;000017796
043986439;000156961
850122139;000804406
156750325;001657246
059067780;000016643
047669357;001532446
11885173X;001500751
11885173X;001483772
056012063;001296203
056012063;001296201
107995921;001368981
086119087;001239510
097315842;001314563
063921340;000939133
093396546;001291887
085600075;001237843
115131884;001466267
861291166;001482144
102069492;001342593
056920237;001324661
111181801;001394443
863478913;001249667
062647687;000676730
056990162;001132831
10262562X;001347567
094784736;001296244
097328669;001314718
067453058;001270147
05542158X;001319243
055944213;000857820
05941524X;000308266
843900083;001016207
061644668;000571225
061734853;000593901
118928244;001484466
055289312;001479206
861390326;001293271
86219430X;001237644
056041659;001298748
107533634;001364910
046812156;001482353
08053614X;001393544
059259000;000161026
119021269;001484839
853823421;001431867
045922012;001467291
065057902;001071780
054285240;000383639
045589348;000387997
84422491X;000321586
060935480;000510121
089597427;001687359
041521137;000694185
801186285;000590377
864655002;000845849
102572119;001532757
063366207;000863615
098194178;000586730
089739043;001741362
083175334;000965091
141776994;001810084
800366115;000691085
100823610;001335005
08004610X;001216953
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
802262554;001333973
097125296;001312342
057074585;001491860
241903823;001248211
